"Day_Code","Source_Ship_from_Code","Source_Ship_To_Code","Vending_Machine_Code","Vending_Machine_Location_Code","Source_Product_Code","Source_Channel_Code","Source_Sales_Type_Code","Record_Type","Operation_Route_Type","Invoice_Number","Transaction_Type","Currency_Code","Sales_Unit_Type_Flag","Quantity","Unit_Cases","Bottler_Gross_Revenue","Bottler_Net_Sales_Revenue","Bottler_Wholesale_Price","Total_Discounts_amount","Total_Taxes_amount","Send_Datetimestamp","Coverage_Count_Flag","Ship_To_Country","Ship_To_Address_1"
"20210211","z4d4qgT2XDadruCG1P5crxLOs8AjoDEP","mz66mxLLq4pebnCV0ei2sxt5iE1ZPQFtdWt3iVFD","xZ5","g87kWOJimPMlQTvVdKRdI8RLaRveoa6a40kyN3wmeQVCh","XlPmn8ur2fAr1buh11SkzZdeYEwr89wFT2","1","Bw7","Normal","3rd_Party_Operator","b0GdJNTVmz4semvDwK4Q","Pre_Sale","LSL","Case","9816.54154","6331.17309","7462.68546","399.0752","5747.86289","717.42683","1404.52213","","N"
"20310925","ayAUPWkmSFTNUIXs","2PVsM","NRHWsnJ","sVgGKfDn1CPIZzs2ZdljwGFsMg1m9LwmoPhR4Y93bd4gY","shbohvHUTZVFY7XJ9KSUaAqb","DZ6DGt5Z40B5ERPrSmEmxgyXMsjxD4","gVwTj07L5","Normal","3rd_Party_Operator","L2SHWGNIir5hPuDEB4rO0ByH5bAfl6HMikGf","Actual","BOB","Case","1895.82958","38.37783","3539.94409","9280.72082","1675.3577","3228.67248","","20270619 22:37:15","Y"
"20240711","7Zpp94CkoHgDDqqAQgJOEMooQUoKB7HHC2WDj","dax5HmaaqZazQ5ldEdiIzKwxfzVM0ioIL","gz","nXl3lclTDjHr","Dq2b5iWvZoMbP5L9BzI","3B6PrrDyZkYSfj7uicFJMU3ivGVUa4AYfqJVZz","n6gwzAU9wfkDD8yJ5HY","Correction","Vending_Machine","05BYqdDC6T7xiOQ7qjpIx","Actual","LSL","Physical_Case","116.52675","4683.22965","4597.55764","3641.19834","3082.36186","5421.68682","2879.62155","20060817 07:10:10","Y"
"20150215","Fhc0WaI0cCiq9KOCgIKuC1my","c1JvxB7Mgjn","AgsKmLIQevglPeFOgji0nSmivUBCDZMTKCVTbsAm4Hn","Z4xf75yKZhVlZvWA","shbohvHUTZVFY7XJ9KSUaAqb","OBMOFD3hzjwC22SidQOf","8u74qPVTfGLcrsCgDcEEdug63","Normal","Dispenser_Sales","UY9rEmstOsnSKnPCLugAmNnI2dzH259xenPez7ch","Pre_Sale","SDG","Physical_Case","5060.1444","7196.25121","7831.29274","4455.61214","624.30702","2930.97774","6426.2162","20290504 23:16:00","Y"
"20330406","WiyYTKYiJ7gOinFCzuwN5JmHivHGJlrA1A","Fz2llh8NhY5tP4d6s7R8eOE9jjQdb4jDzAbj","LqvAYs5uo3Z4J3hsiQ62s","X0EyvwQfti2MgZ69mnGBOqW2cLc37ZyUfgRhBNFGOFg","Lz5d1nqjyWvNY1Smfsmy98R0qB86s07qrz","mhcPP5wjQm2hrv8QsVqWgK3ez5qr5Pd7zrfjxjEV","BIxfdCTfbGPZ3vKmAFDv3iI71","Normal","Dispenser_Sales","NxncTp3lV2QZ2GcIIcYv0nf6WuwhHwW","Pre_Sale","","Case","623.59799","8702.8486","7085.00538","1304.25396","1305.51033","9986.13954","","20141004 18:13:30",""
"20101022","9No","ypukXNuJrflEuCdFO6CBxFB6PVxPtPAqMn","Bsk6ctNWtUCKf","euQZTP8nUHWXXd8GzeofWaBH8QhSRGrL29dD9Xr0Z","L","LJTL7zpwSTc2BEoIIyfjasnSoeVgT043nkLsM","5","Normal","3rd_Party_Operator","z2","Estimate","MRO","Physical_Case","216.39756","-54.95046","6175.99619","7281.95157","1628.34544","7741.29292","6732.14824","20081216 16:25:51","Y"
"20290504","n2d","3f5lUPa3gnhXjS59ExhQ","iiP5srol2sGBBM2ElPUc7eMjIBnZ6aJYzRTfHxlxoxoXoAQ3yx7","Ne6JMkk4Ey40Sz7qdnsvXckcgJnwxxb4rWcBBMpdPugSiFydujj","loGWG","NEMLJxA6bINdkk4","MjWzSL6aouzha1YCMlSbAx","Correction","3rd_Party_Operator","acwiY8MhznfqFEDTk3buSAErpNLo5twRJc","Actual","NPR","Case","5933.27095","3755.32965","8796.17173","6143.31782","1069.78053","3034.86394","8759.47394","20030608 16:40:27",""
"20160101","Fhc0WaI0cCiq9KOCgIKuC1my","3GHjBj1Z47uet3","wEc2XZWNa","ZPJfm6pgSUJvc7Sme3Ov4Au1hAmyz2wb","7nhXN4VvCLb","iuqprfbLQHAeVlte2ah1chXxSPl","5","Normal","Dispenser_Sales","","Pre_Sale","KYD","Physical_Case","5736.50177","3036.96734","1367.79962","4026.87247","8793.33182","206.34601","5313.48479","20251115 11:39:46","Y"
"20141004","8EK2X4w4bKe7V5PWMNaNIEEf","6MkSNnlN4GbnXv4B3zlbzYxfqXZuRHm2cV","PBfGET8lE27PsyfQtAUxmrg210pe2Me7y","4qrFf2N8bt9d627Fbx5Mm","R","Db2vUjtJB5Wo9OyoX9qa2O6j5","JDTalZUGrKkuYfXFTJ9jBgAB7t0pXk","Cancel","Vending_Machine","LFQ","Pre_Sale","USN","Physical_Case","3299.92002","9680.22855","1705.0231","8919.16699","","","2889.0472","20270928 01:09:15","Y"
"20130828","oAqgTm5pr2qUnqD8xpTaEFWKGNORANkyAJ10p","BXYrINbUIVMft","VW6scyx8dmhzkE1I959vyvzKdHggrn","jT4B49shhZufrxrLPE5tl1WXSOMe4PqDmT9KbFzQeby1UKQu","SvIJOs1R4PCSS2k8tvg","81be","d7snUVJ2eSr7PUnY7x7XmxFkEN","Cancel","Dispenser_Sales","1Qy5Ob1XEGbHvAjxkTfZfEh3GgXaMHiz","Actual","UYI","Multi-Pack","7039.76935","4570.78486","5384.6616","-83.02723","1720.11116","2925.38024","1423.57285","20210916 17:27:54","Y"
"20081216","sBjQ2BFtVLJZsdjI4xbp4Mj4LwGTyMAZaOD4","85C1A","6JSAk1XdxTjPrV9HMnetYu","","12be86g","b10zs7ijZ7bukZl1","EzDaLOyrwpFiqcZRltkOAWK7ykR8Im","Cancel","Dispenser_Sales","g2yOgkJkT","Actual","HNL","Loose","4549.50876","473.53323","2809.20637","","1814.93953","1306.5097","1663.0176","20040930 21:36:33","N"
